epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7818,1.71133,2.81605,1.5044,0.34931,0.31842,0.20677,0.1235,1.54413,1.64934,1.40776,0.000273756,0.000273756,0.000273756
2,78.4117,1.56455,1.62751,1.38454,0.69958,0.28778,0.23198,0.14688,1.48637,1.33856,1.3687,0.000547783,0.000547783,0.000547783
3,118.531,1.53429,1.54461,1.3408,0.53672,0.18015,0.19465,0.11227,1.5665,1.36207,1.44748,0.000818145,0.000818145,0.000818145
4,158.024,1.53898,1.64803,1.38928,0.56105,0.20108,0.21366,0.13418,1.49674,1.48878,1.36554,0.000816507,0.000816507,0.000816507
5,196.699,1.55458,1.4889,1.3565,0.37764,0.29336,0.24603,0.15176,1.43476,1.25223,1.31847,0.000811009,0.000811009,0.000811009
6,236.076,1.51804,1.53408,1.32957,0.3782,0.29247,0.22959,0.141,1.5133,1.3142,1.3855,0.000805511,0.000805511,0.000805511
7,274.708,1.54843,1.41976,1.31955,0.3945,0.28596,0.23378,0.14536,1.82713,1.67548,1.59058,0.000800013,0.000800013,0.000800013
8,313.578,1.54848,1.44098,1.35656,0.37471,0.23126,0.21315,0.1271,1.58323,1.38496,1.41069,0.000794515,0.000794515,0.000794515
9,352.262,1.56193,1.46247,1.35176,0.40899,0.24182,0.19651,0.11614,1.55758,1.57025,1.4591,0.000789018,0.000789018,0.000789018
10,391.204,1.52147,1.35189,1.33803,0.42532,0.27081,0.25228,0.1526,1.44659,1.15478,1.33926,0.00078352,0.00078352,0.00078352
11,430.672,1.45331,1.34909,1.32166,0.42856,0.257,0.25318,0.15618,1.42077,1.32737,1.30204,0.000778022,0.000778022,0.000778022
12,469.716,1.41457,1.26738,1.2867,0.44201,0.26078,0.31066,0.19824,1.41091,1.12449,1.29201,0.000772524,0.000772524,0.000772524
13,509.826,1.48709,1.37974,1.34036,0.61245,0.29836,0.33991,0.23135,1.42278,1.09707,1.31259,0.000767026,0.000767026,0.000767026
14,549.034,1.40807,1.27076,1.28849,0.7458,0.30524,0.30583,0.19081,1.46628,1.20255,1.30716,0.000761529,0.000761529,0.000761529
15,587.878,1.45638,1.34193,1.27363,0.75881,0.21411,0.24608,0.14586,1.52149,1.37192,1.44638,0.000756031,0.000756031,0.000756031
16,627.024,1.45779,1.32361,1.3154,0.72938,0.31871,0.29653,0.18015,1.48793,1.16855,1.3431,0.000750533,0.000750533,0.000750533
17,666.571,1.43943,1.26633,1.32121,0.78318,0.31191,0.34245,0.23365,1.44384,1.22069,1.3106,0.000745035,0.000745035,0.000745035
18,705.488,1.4302,1.39403,1.29592,0.75065,0.30997,0.29658,0.19188,1.45214,1.13752,1.31042,0.000739537,0.000739537,0.000739537
19,744.914,1.4308,1.20125,1.2797,0.72363,0.32593,0.2602,0.15343,1.44236,1.15249,1.28576,0.00073404,0.00073404,0.00073404
20,782.703,1.39557,1.26732,1.27173,0.77619,0.27897,0.29336,0.18787,1.38171,1.08598,1.28771,0.000728542,0.000728542,0.000728542
21,821.76,1.38942,1.2092,1.24997,0.58029,0.38169,0.31096,0.19689,1.47778,1.31167,1.33902,0.000723044,0.000723044,0.000723044
22,860.464,1.31022,1.15884,1.21569,0.71973,0.35687,0.27646,0.17382,1.43936,1.12888,1.30075,0.000717546,0.000717546,0.000717546
23,898.823,1.31334,1.17008,1.24138,0.74183,0.3003,0.2863,0.18456,1.46256,1.20638,1.33293,0.000712048,0.000712048,0.000712048
24,937.468,1.38801,1.25092,1.29401,0.74633,0.20951,0.25821,0.15901,1.53633,1.59504,1.39922,0.000706551,0.000706551,0.000706551
25,976.497,1.33753,1.18614,1.28498,0.74894,0.3958,0.45726,0.34117,1.41462,1.33206,1.31539,0.000701053,0.000701053,0.000701053
26,1016.01,1.31806,1.10161,1.2042,0.56071,0.32172,0.34627,0.22188,1.37929,1.09729,1.25186,0.000695555,0.000695555,0.000695555
27,1055.03,1.30871,1.05146,1.22521,0.62278,0.54021,0.41842,0.25832,1.34122,1.0271,1.2797,0.000690057,0.000690057,0.000690057
28,1093.7,1.32642,1.05769,1.2299,0.76824,0.37877,0.46484,0.29228,1.30131,1.00972,1.22779,0.000684559,0.000684559,0.000684559
29,1132.81,1.27083,1.02167,1.19204,0.78018,0.34725,0.33567,0.198,1.40104,1.06954,1.30307,0.000679062,0.000679062,0.000679062
30,1171.66,1.33806,1.11339,1.21842,0.56817,0.3926,0.35912,0.23009,1.32209,1.06,1.24235,0.000673564,0.000673564,0.000673564
31,1210.25,1.29689,1.10197,1.20395,0.81639,0.35585,0.41561,0.23949,1.37419,1.06951,1.26454,0.000668066,0.000668066,0.000668066
32,1249.39,1.3039,1.03783,1.2167,0.63634,0.60408,0.49683,0.27731,1.33343,1.04204,1.2344,0.000662568,0.000662568,0.000662568
33,1288.26,1.33038,1.07435,1.21826,0.75788,0.51022,0.49193,0.29754,1.3783,1.06392,1.25501,0.00065707,0.00065707,0.00065707
34,1327.04,1.30464,1.01882,1.26434,0.59035,0.3792,0.36246,0.23974,1.35316,1.04175,1.2369,0.000651573,0.000651573,0.000651573
35,1365.5,1.24436,1.00456,1.18807,0.8717,0.27893,0.37314,0.25334,1.38123,0.99149,1.28406,0.000646075,0.000646075,0.000646075
36,1404.66,1.23417,1.01274,1.18681,0.75487,0.47143,0.53975,0.33099,1.33427,1.04248,1.23635,0.000640577,0.000640577,0.000640577
37,1443.88,1.25202,1.0189,1.19871,0.74039,0.45185,0.48289,0.29291,1.37879,1.15959,1.28216,0.000635079,0.000635079,0.000635079
38,1483.07,1.30585,1.06234,1.23447,0.79665,0.33533,0.31165,0.19439,1.37575,1.16439,1.30042,0.000629581,0.000629581,0.000629581
39,1521.66,1.24265,1.03566,1.18841,0.7506,0.55945,0.52755,0.29678,1.39526,1.05776,1.27086,0.000624084,0.000624084,0.000624084
40,1559.8,1.22986,1.02848,1.17552,0.84914,0.49232,0.56009,0.34805,1.35786,1.02125,1.29274,0.000618586,0.000618586,0.000618586
41,1600.83,1.19969,1.01697,1.1486,0.76217,0.58947,0.54667,0.34128,1.35526,0.99807,1.27496,0.000613088,0.000613088,0.000613088
42,1640.37,1.2807,1.03898,1.22213,0.6606,0.59918,0.52454,0.37163,1.55877,1.24676,1.42481,0.00060759,0.00060759,0.00060759
43,1680.38,1.1791,0.9769,1.15042,0.75637,0.53754,0.52579,0.3747,1.39527,1.10814,1.27942,0.000602092,0.000602092,0.000602092
44,1720.8,1.22002,1.00225,1.1442,0.71107,0.2612,0.37556,0.25989,1.41463,1.10071,1.31436,0.000596595,0.000596595,0.000596595
45,1759.74,1.22037,0.98294,1.18065,0.66738,0.30238,0.38055,0.2616,1.34692,1.04521,1.25907,0.000591097,0.000591097,0.000591097
46,1798.49,1.16431,0.96513,1.15052,0.60052,0.5338,0.38451,0.2864,1.37705,1.10517,1.26175,0.000585599,0.000585599,0.000585599
