epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6535.73,0.99447,1.16458,1.34537,0.41956,0.60908,0.56574,0.32526,1.30186,1.47612,1.61481,0.00018235,0.00018235,0.00018235
43,6690.29,1.00159,1.12697,1.36165,0.40293,0.60978,0.57892,0.32946,1.31909,1.58276,1.65416,0.0001807,0.0001807,0.0001807
44,6844.58,0.99538,1.14444,1.35207,0.41715,0.6292,0.5938,0.3471,1.29474,1.70428,1.6329,0.00017905,0.00017905,0.00017905
45,7001.74,0.9634,1.11766,1.33467,0.62001,0.47745,0.61606,0.36398,1.295,1.56643,1.65354,0.0001774,0.0001774,0.0001774
46,7158.25,0.99257,1.17394,1.35937,0.49002,0.56295,0.57572,0.34444,1.29315,1.55878,1.63947,0.00017575,0.00017575,0.00017575
47,7312.32,0.97282,1.11612,1.33882,0.52379,0.50487,0.54698,0.33988,1.31249,1.91452,1.67362,0.0001741,0.0001741,0.0001741
48,7466.77,0.94479,1.06731,1.32407,0.63394,0.54838,0.60873,0.36651,1.28234,1.48351,1.59055,0.00017245,0.00017245,0.00017245
49,7622.71,0.97056,1.06361,1.32425,0.50366,0.68754,0.65278,0.37198,1.3034,1.39656,1.59859,0.0001708,0.0001708,0.0001708
50,7777.88,0.95956,1.09132,1.32348,0.61594,0.55877,0.61458,0.37078,1.27968,1.41657,1.60072,0.00016915,0.00016915,0.00016915
51,7932.66,0.94581,1.044,1.31509,0.67795,0.56359,0.64351,0.38318,1.27331,1.40885,1.5576,0.0001675,0.0001675,0.0001675
52,8088.24,0.94815,1.06139,1.31537,0.71552,0.50738,0.62985,0.36235,1.25836,1.50721,1.59971,0.00016585,0.00016585,0.00016585
53,8243.77,0.92155,1.0085,1.29123,0.54258,0.59365,0.6381,0.3915,1.25798,1.50883,1.64092,0.0001642,0.0001642,0.0001642
