epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1830.6,1.30263,1.12122,1.32584,0.31846,0.71365,0.5398,0.30206,1.42513,1.20508,1.54712,0.0009035,0.0009035,0.0009035
44,1872.39,1.27381,1.13644,1.35315,0.36381,0.69154,0.57418,0.3681,1.38873,1.23035,1.47146,0.00089525,0.00089525,0.00089525
45,1914.64,1.28848,1.16515,1.30997,0.34936,0.68034,0.49549,0.26913,1.55294,1.33526,1.62803,0.000887,0.000887,0.000887
46,1957,1.24327,1.03741,1.284,0.37625,0.75214,0.57201,0.36327,1.39131,1.20037,1.47169,0.00087875,0.00087875,0.00087875
47,1999.07,1.24044,1.12545,1.29372,0.40601,0.65313,0.53632,0.34651,1.3347,1.22292,1.41863,0.0008705,0.0008705,0.0008705
48,2040.98,1.21762,1.05218,1.28378,0.32841,0.6205,0.57407,0.36094,1.38229,1.22196,1.45878,0.00086225,0.00086225,0.00086225
49,2082.95,1.22914,1.07201,1.24949,0.59244,0.56511,0.55176,0.35675,1.43894,1.26669,1.51601,0.000854,0.000854,0.000854
50,2124.81,1.22904,1.09052,1.30014,0.36995,0.71932,0.57628,0.34746,1.36595,1.23977,1.46044,0.00084575,0.00084575,0.00084575
51,2166.79,1.2271,1.08061,1.29227,0.4338,0.61149,0.50934,0.3082,1.40966,1.23651,1.53104,0.0008375,0.0008375,0.0008375
52,2208.55,1.28948,1.08324,1.3426,0.39612,0.71096,0.54454,0.34579,1.36307,1.13616,1.4811,0.00082925,0.00082925,0.00082925
53,2250.89,1.21666,1.06296,1.29129,0.38936,0.67601,0.51323,0.31374,1.36257,1.27839,1.45856,0.000821,0.000821,0.000821
54,2292.66,1.20265,1.0172,1.27153,0.44999,0.66989,0.56689,0.37497,1.36396,1.17364,1.45596,0.00081275,0.00081275,0.00081275
55,2334.69,1.16322,1.04326,1.25158,0.5018,0.66197,0.54641,0.33123,1.33534,1.17156,1.4694,0.0008045,0.0008045,0.0008045
56,2376.39,1.17288,1.01814,1.25247,0.39606,0.75331,0.58753,0.37466,1.28516,1.0628,1.37733,0.00079625,0.00079625,0.00079625
57,2417.94,1.21329,1.04745,1.29627,0.30592,0.69572,0.49396,0.30327,1.3799,1.23983,1.5108,0.000788,0.000788,0.000788
58,2459.83,1.19599,1.0426,1.27809,0.45856,0.72781,0.58838,0.38427,1.43114,1.23936,1.53784,0.00077975,0.00077975,0.00077975
59,2501.97,1.16919,0.95982,1.24971,0.32812,0.61124,0.54803,0.34163,1.43409,1.1234,1.53817,0.0007715,0.0007715,0.0007715
60,2543.78,1.21001,1.00307,1.2686,0.36868,0.76764,0.52169,0.32823,1.35247,1.22988,1.45365,0.00076325,0.00076325,0.00076325
61,2585.53,1.15838,1.00203,1.252,0.42394,0.66227,0.56981,0.35078,1.37864,1.17212,1.54575,0.000755,0.000755,0.000755
62,2627.44,1.15116,0.96764,1.2178,0.39227,0.70846,0.53019,0.33841,1.35005,1.11777,1.43188,0.00074675,0.00074675,0.00074675
63,2669.12,1.18188,0.97338,1.25576,0.40116,0.71693,0.54242,0.33962,1.37119,1.19786,1.48525,0.0007385,0.0007385,0.0007385
64,2710.93,1.20086,1.01688,1.28576,0.39011,0.77052,0.54631,0.35648,1.33228,1.12229,1.46129,0.00073025,0.00073025,0.00073025
65,2753.05,1.13036,0.98482,1.21569,0.4483,0.6551,0.57554,0.37991,1.33275,1.15667,1.45024,0.000722,0.000722,0.000722
66,2794.95,1.12293,0.94581,1.21316,0.51081,0.69854,0.61612,0.40778,1.32158,1.13416,1.45054,0.00071375,0.00071375,0.00071375
67,2837.13,1.1467,0.95411,1.24047,0.46098,0.74364,0.55204,0.35853,1.33781,1.16467,1.47687,0.0007055,0.0007055,0.0007055
68,2878.88,1.10423,0.94903,1.23376,0.44004,0.71318,0.55631,0.37198,1.36102,1.20982,1.4631,0.00069725,0.00069725,0.00069725
69,2920.65,1.14302,0.98798,1.2456,0.5429,0.65122,0.56206,0.37346,1.34842,1.12997,1.48019,0.000689,0.000689,0.000689
70,2962.34,1.10424,0.92438,1.20304,0.46084,0.66005,0.58816,0.38752,1.3158,1.11064,1.42838,0.00068075,0.00068075,0.00068075
71,3004.62,1.09839,0.95528,1.21219,0.62881,0.66645,0.5911,0.39043,1.35409,1.13314,1.45308,0.0006725,0.0006725,0.0006725
72,3046.53,1.092,0.88683,1.1875,0.37707,0.67362,0.51068,0.32407,1.33396,1.11557,1.4331,0.00066425,0.00066425,0.00066425
73,3088.22,1.10995,0.91907,1.21625,0.40833,0.67295,0.51759,0.33515,1.3127,1.13998,1.41049,0.000656,0.000656,0.000656
74,3130.45,1.09643,0.90719,1.19187,0.44081,0.59925,0.51319,0.32626,1.31117,1.14288,1.43649,0.00064775,0.00064775,0.00064775
75,3172.69,1.07087,0.8524,1.1766,0.44002,0.64793,0.56742,0.36474,1.30049,1.13091,1.39882,0.0006395,0.0006395,0.0006395
76,3214.38,1.05968,0.83217,1.18524,0.42343,0.72363,0.52757,0.34918,1.30962,1.1417,1.42432,0.00063125,0.00063125,0.00063125
77,3256.4,1.04648,0.86329,1.18697,0.42044,0.56345,0.51174,0.32984,1.3447,1.17478,1.46363,0.000623,0.000623,0.000623
78,3298.19,1.038,0.88632,1.18075,0.4172,0.58971,0.51809,0.3295,1.33809,1.12328,1.42696,0.00061475,0.00061475,0.00061475
79,3339.99,1.04786,0.87303,1.16916,0.42319,0.64316,0.54887,0.37558,1.287,1.23556,1.38724,0.0006065,0.0006065,0.0006065
80,3382.15,1.04714,0.91278,1.17222,0.4727,0.72781,0.5705,0.36439,1.3792,1.13592,1.48366,0.00059825,0.00059825,0.00059825
81,3423.89,1.03996,0.88779,1.19172,0.514,0.72073,0.61268,0.42345,1.2927,1.16958,1.4163,0.00059,0.00059,0.00059
82,3465.47,1.05698,0.85018,1.19015,0.47488,0.72094,0.54454,0.36617,1.2791,1.13419,1.38922,0.00058175,0.00058175,0.00058175
83,3507.53,1.02346,0.85268,1.1519,0.36503,0.75141,0.50999,0.34838,1.29733,1.11005,1.43164,0.0005735,0.0005735,0.0005735
84,3549.21,1.02577,0.83396,1.16591,0.45994,0.72005,0.59429,0.38779,1.30748,1.16282,1.42326,0.00056525,0.00056525,0.00056525
85,3590.93,1.04577,0.89004,1.18017,0.52057,0.71557,0.61293,0.40954,1.31198,1.21467,1.46885,0.000557,0.000557,0.000557
86,3632.96,1.01545,0.81443,1.14013,0.55281,0.63705,0.59794,0.39189,1.32658,1.13191,1.45287,0.00054875,0.00054875,0.00054875
87,3674.6,1.01882,0.85434,1.15541,0.53736,0.67825,0.61083,0.40919,1.37338,1.17141,1.53204,0.0005405,0.0005405,0.0005405
88,3716.25,0.99757,0.78537,1.13811,0.53771,0.67555,0.61291,0.41368,1.29786,1.0772,1.45397,0.00053225,0.00053225,0.00053225
89,3758.57,1.01249,0.84431,1.17957,0.48867,0.66498,0.58204,0.39526,1.28106,1.11402,1.40818,0.000524,0.000524,0.000524
90,3800.76,0.9958,0.82268,1.1663,0.46343,0.64777,0.59003,0.40072,1.31221,1.13185,1.42704,0.00051575,0.00051575,0.00051575
91,3842.45,0.99735,0.79821,1.13536,0.5725,0.67207,0.61222,0.41728,1.32207,1.09915,1.44211,0.0005075,0.0005075,0.0005075
92,3884.33,1.02901,0.81927,1.18546,0.51241,0.64674,0.60108,0.40685,1.31404,1.14616,1.4429,0.00049925,0.00049925,0.00049925
93,3926.17,0.94355,0.73882,1.1107,0.50825,0.68153,0.62671,0.4093,1.31682,1.1225,1.41028,0.000491,0.000491,0.000491
94,3968.08,0.96825,0.75524,1.1174,0.58769,0.59507,0.65571,0.43025,1.33954,1.12965,1.47116,0.00048275,0.00048275,0.00048275
95,4010.63,0.97146,0.79333,1.13035,0.44127,0.6849,0.55856,0.38507,1.33344,1.12513,1.44808,0.0004745,0.0004745,0.0004745
96,4052.5,0.96606,0.78801,1.13188,0.42197,0.64451,0.52853,0.3508,1.32582,1.17345,1.46296,0.00046625,0.00046625,0.00046625
97,4095.1,0.95175,0.73855,1.11569,0.3672,0.65109,0.50392,0.33512,1.33427,1.21119,1.45877,0.000458,0.000458,0.000458
